LastReportDate,Sex,NZAgeGroup,Cases
2021-04-15,Female,5-19,175
2021-04-16,Female,<1,3
2021-04-17,Male,20-34,456
2021-04-06,Male,>=80,21
2021-04-10,Female,65-79,84
2021-04-15,Male,35-49,279
2021-04-07,Male,1-4,25
2021-04-11,Male,5-19,110
2021-04-17,Female,20-34,494
2021-04-12,Female,50-64,242
2021-04-14,Female,35-49,282
2020-08-28,Female,>=80,21
2021-03-14,Male,<1,10
2021-04-06,Female,1-4,28
2021-04-09,Male,65-79,117
2021-04-11,Male,50-64,248
