LastReportDate,Sex,NZAgeGroup,Cases
2021-06-24,Female,5-19,180
2021-04-26,Female,<1,4
2021-06-25,Male,20-34,489
2021-04-06,Male,>=80,21
2021-04-10,Female,65-79,84
2021-06-19,Male,35-49,301
2021-06-10,Male,1-4,28
2021-06-24,Male,5-19,117
2021-06-26,Female,20-34,517
2021-06-22,Female,50-64,248
2021-06-10,Female,35-49,286
2021-04-23,Female,>=80,22
2021-03-14,Male,<1,10
2021-06-18,Male,65-79,122
2021-06-06,Female,1-4,34
2021-06-22,Male,50-64,265
