LastReportDate,Sex,NZAgeGroup,Cases
2021-04-07,Female,5-19,172
2020-08-31,Female,<1,2
2021-04-08,Male,20-34,445
2021-04-06,Male,>=80,21
2021-04-08,Female,65-79,82
2021-04-07,Male,35-49,274
2021-04-07,Male,1-4,25
2021-04-07,Male,5-19,109
2021-04-08,Female,20-34,489
2021-04-06,Female,50-64,241
2021-04-08,Female,35-49,279
2020-08-28,Female,>=80,21
2021-03-14,Male,<1,10
2021-04-06,Female,1-4,28
2021-03-20,Male,65-79,116
2021-04-06,Male,50-64,247
