LastReportDate,Sex,NZAgeGroup,Cases
2021-04-25,Female,5-19,176
2021-04-26,Female,<1,4
2021-05-02,Male,20-34,461
2021-04-06,Male,>=80,21
2021-04-10,Female,65-79,84
2021-04-30,Male,35-49,284
2021-05-01,Male,1-4,26
2021-04-29,Male,5-19,111
2021-05-01,Female,20-34,498
2021-04-26,Female,50-64,244
2021-04-14,Female,35-49,282
2021-04-23,Female,>=80,22
2021-03-14,Male,<1,10
2021-05-02,Female,1-4,30
2021-04-30,Male,65-79,119
2021-05-02,Male,50-64,250
