LastReportDate,Sex,NZAgeGroup,Cases
2021-05-06,Female,5-19,177
2021-04-26,Female,<1,4
2021-05-23,Male,20-34,475
2021-04-06,Male,>=80,21
2021-04-10,Female,65-79,84
2021-05-21,Male,35-49,290
2021-05-01,Male,1-4,26
2021-05-21,Male,5-19,113
2021-05-23,Female,20-34,504
2021-05-16,Female,50-64,246
2021-05-19,Female,35-49,285
2021-04-23,Female,>=80,22
2021-03-14,Male,<1,10
2021-05-23,Female,1-4,32
2021-05-12,Male,65-79,120
2021-05-23,Male,50-64,258
