LastReportDate,Sex,NZAgeGroup,Cases
2021-05-06,Female,5-19,177
2021-04-26,Female,<1,4
2021-05-18,Male,20-34,473
2021-04-06,Male,>=80,21
2021-04-10,Female,65-79,84
2021-05-16,Male,35-49,289
2021-05-01,Male,1-4,26
2021-05-04,Male,5-19,112
2021-05-06,Female,20-34,503
2021-05-16,Female,50-64,246
2021-05-18,Female,35-49,284
2021-04-23,Female,>=80,22
2021-03-14,Male,<1,10
2021-05-12,Male,65-79,120
2021-05-06,Female,1-4,31
2021-05-18,Male,50-64,256
