LastReportDate,Ethnicity,Cases
2021-04-02,Unknown,14
2021-04-05,Middle Eastern/Latin American/African,109
2021-03-23,Maori,202
2021-04-04,European or Other,1449
2021-04-05,Pacific Peoples,193
2021-04-05,Asian,557
