LastReportDate,Ethnicity,Cases
2021-04-17,Unknown,14
2021-04-16,Middle Eastern/Latin American/African,116
2021-04-11,Maori,203
2021-04-16,European or Other,1459
2021-04-07,Pacific Peoples,193
2021-04-17,Asian,610
