LastReportDate,Ethnicity,Cases
2021-06-07,Unknown,14
2021-06-08,Middle Eastern/Latin American/African,130
2021-05-01,Maori,208
2021-06-01,European or Other,1475
2021-05-24,Pacific Peoples,200
2021-06-07,Asian,665
