LastReportDate,Ethnicity,Cases
2021-06-27,Unknown,16
2021-06-12,Middle Eastern/Latin American/African,133
2021-06-22,Maori,210
2021-06-27,European or Other,1492
2021-05-24,Pacific Peoples,200
2021-06-27,Asian,687
