LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-01-22,Middle Eastern/Latin American/African,84
2021-01-22,Maori,197
2021-01-23,European or Other,1393
2021-01-23,Pacific Peoples,185
2021-01-23,Asian,410
