LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-06-12,Middle Eastern/Latin American/African,133
2021-06-12,Maori,209
2021-06-11,European or Other,1480
2021-05-24,Pacific Peoples,200
2021-06-12,Asian,673
