LastReportDate,Ethnicity,Cases
2021-07-07,Unknown,18
2021-07-04,Middle Eastern/Latin American/African,136
2021-06-22,Maori,210
2021-07-06,European or Other,1503
2021-05-24,Pacific Peoples,200
2021-07-06,Asian,697
