LastReportDate,Ethnicity,Cases
2021-02-28,Unknown,14
2021-02-27,Middle Eastern/Latin American/African,99
2021-02-11,Maori,197
2021-02-24,European or Other,1427
2021-02-14,Pacific Peoples,189
2021-02-28,Asian,452
