LastReportDate,Ethnicity,Cases
2021-07-06,Unknown,17
2021-07-10,Middle Eastern/Latin American/African,137
2021-06-22,Maori,210
2021-07-11,European or Other,1504
2021-05-24,Pacific Peoples,200
2021-07-10,Asian,699
