LastReportDate,Ethnicity,Cases
2021-06-29,Unknown,17
2021-06-28,Middle Eastern/Latin American/African,135
2021-06-22,Maori,210
2021-06-28,European or Other,1493
2021-05-24,Pacific Peoples,200
2021-06-27,Asian,687
