LastReportDate,Ethnicity,Cases
2021-04-11,Unknown,15
2021-04-10,Middle Eastern/Latin American/African,112
2021-04-11,Maori,203
2021-04-11,European or Other,1455
2021-04-07,Pacific Peoples,194
2021-04-11,Asian,604
