LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-05-30,Middle Eastern/Latin American/African,126
2021-05-01,Maori,208
2021-05-29,European or Other,1474
2021-05-24,Pacific Peoples,200
2021-05-30,Asian,652
