LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-04-20,Middle Eastern/Latin American/African,118
2021-04-11,Maori,203
2021-04-16,European or Other,1459
2021-04-20,Pacific Peoples,194
2021-04-18,Asian,612
