LastReportDate,Ethnicity,Cases
2021-07-18,Unknown,19
2021-07-18,Middle Eastern/Latin American/African,141
2021-06-22,Maori,210
2021-07-19,European or Other,1516
2021-07-20,Pacific Peoples,206
2021-07-20,Asian,736
