LastReportDate,Ethnicity,Cases
2021-06-24,Unknown,14
2021-06-12,Middle Eastern/Latin American/African,133
2021-06-22,Maori,210
2021-06-22,European or Other,1488
2021-05-24,Pacific Peoples,200
2021-06-24,Asian,680
