LastReportDate,Ethnicity,Cases
2021-05-18,Unknown,14
2021-05-21,Middle Eastern/Latin American/African,125
2021-05-01,Maori,208
2021-05-21,European or Other,1471
2021-05-07,Pacific Peoples,199
2021-05-23,Asian,650
