LastReportDate,Ethnicity,Cases
2021-03-16,Unknown,15
2021-03-07,Middle Eastern/Latin American/African,101
2021-03-10,Maori,200
2021-03-14,European or Other,1437
2021-02-14,Pacific Peoples,189
2021-03-15,Asian,490
