LastReportDate,Ethnicity,Cases
2021-07-18,Unknown,22
2021-07-18,Middle Eastern/Latin American/African,141
2021-06-22,Maori,210
2021-07-17,European or Other,1516
2021-07-17,Pacific Peoples,204
2021-07-18,Asian,724
