LastReportDate,Ethnicity,Cases
2021-07-13,Unknown,31
2021-07-12,Middle Eastern/Latin American/African,138
2021-06-22,Maori,210
2021-07-12,European or Other,1507
2021-05-24,Pacific Peoples,200
2021-07-10,Asian,704
