LastReportDate,Ethnicity,Cases
2021-04-07,Unknown,15
2021-04-07,Middle Eastern/Latin American/African,111
2021-03-23,Maori,202
2021-04-07,European or Other,1452
2021-04-07,Pacific Peoples,194
2021-04-08,Asian,587
