LastReportDate,Ethnicity,Cases
2021-03-08,Unknown,13
2021-03-07,Middle Eastern/Latin American/African,101
2021-03-07,Maori,199
2021-03-09,European or Other,1432
2021-02-14,Pacific Peoples,189
2021-03-11,Asian,483
