LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-06-08,Middle Eastern/Latin American/African,130
2021-05-01,Maori,208
2021-06-09,European or Other,1478
2021-05-24,Pacific Peoples,200
2021-06-08,Asian,668
