LastReportDate,Ethnicity,Cases
2021-06-16,Unknown,14
2021-06-12,Middle Eastern/Latin American/African,133
2021-06-12,Maori,209
2021-06-19,European or Other,1486
2021-05-24,Pacific Peoples,200
2021-06-20,Asian,677
