LastReportDate,Ethnicity,Cases
2021-03-16,Unknown,15
2021-03-17,Middle Eastern/Latin American/African,103
2021-03-10,Maori,200
2021-03-14,European or Other,1436
2021-02-14,Pacific Peoples,189
2021-03-16,Asian,491
