LastReportDate,Ethnicity,Cases
2021-03-14,Unknown,16
2021-03-07,Middle Eastern/Latin American/African,101
2021-03-10,Maori,200
2021-03-14,European or Other,1436
2021-02-14,Pacific Peoples,189
2021-03-14,Asian,488
