LastReportDate,Ethnicity,Cases
2021-02-23,Unknown,12
2021-03-07,Middle Eastern/Latin American/African,103
2021-03-07,Maori,199
2021-03-07,European or Other,1430
2021-02-14,Pacific Peoples,189
2021-03-07,Asian,472
