LastReportDate,Ethnicity,Cases
2021-07-01,Unknown,15
2021-07-04,Middle Eastern/Latin American/African,136
2021-06-22,Maori,210
2021-07-04,European or Other,1501
2021-05-24,Pacific Peoples,200
2021-07-04,Asian,696
