LastReportDate,Ethnicity,Cases
2021-04-10,Unknown,16
2021-04-10,Middle Eastern/Latin American/African,112
2021-03-23,Maori,202
2021-04-10,European or Other,1453
2021-04-07,Pacific Peoples,194
2021-04-10,Asian,597
