LastReportDate,Ethnicity,Cases
2021-03-08,Unknown,13
2021-03-07,Middle Eastern/Latin American/African,101
2021-03-10,Maori,200
2021-03-13,European or Other,1435
2021-02-14,Pacific Peoples,189
2021-03-12,Asian,485
