LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-06-10,Middle Eastern/Latin American/African,132
2021-05-01,Maori,208
2021-06-09,European or Other,1478
2021-05-24,Pacific Peoples,200
2021-06-10,Asian,671
