LastReportDate,Ethnicity,Cases
2021-03-08,Unknown,13
2021-03-07,Middle Eastern/Latin American/African,103
2021-03-07,Maori,199
2021-03-07,European or Other,1431
2021-02-14,Pacific Peoples,189
2021-03-08,Asian,474
