LastReportDate,Ethnicity,Cases
2021-02-23,Unknown,12
2021-02-24,Middle Eastern/Latin American/African,97
2021-02-11,Maori,197
2021-02-24,European or Other,1427
2021-02-14,Pacific Peoples,189
2021-02-23,Asian,446
