LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,12
2021-03-23,Middle Eastern/Latin American/African,105
2021-03-23,Maori,202
2021-03-28,European or Other,1450
2021-03-22,Pacific Peoples,191
2021-03-29,Asian,535
