LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-04-30,Middle Eastern/Latin American/African,122
2021-05-13,Maori,209
2021-05-17,European or Other,1470
2021-05-07,Pacific Peoples,199
2021-05-16,Asian,640
