LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-04-30,Middle Eastern/Latin American/African,122
2021-05-01,Maori,208
2021-05-04,European or Other,1465
2021-05-04,Pacific Peoples,196
2021-05-06,Asian,630
