LastReportDate,Ethnicity,Cases
2021-05-02,Unknown,14
2021-04-30,Middle Eastern/Latin American/African,120
2021-05-01,Maori,208
2021-05-02,European or Other,1463
2021-04-25,Pacific Peoples,195
2021-05-02,Asian,622
