LastReportDate,Ethnicity,Cases
2021-01-26,Unknown,15
2021-01-22,Middle Eastern/Latin American/African,84
2021-01-22,Maori,197
2021-01-26,European or Other,1397
2021-01-23,Pacific Peoples,185
2021-01-27,Asian,416
