LastReportDate,Ethnicity,Cases
2021-01-20,Unknown,12
2021-01-19,Middle Eastern/Latin American/African,81
2021-01-15,Maori,195
2021-01-19,European or Other,1388
2020-11-21,Pacific Peoples,184
2021-01-16,Asian,407
