LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-05-30,Middle Eastern/Latin American/African,126
2021-05-01,Maori,208
2021-06-01,European or Other,1475
2021-05-24,Pacific Peoples,200
2021-06-03,Asian,660
