LastReportDate,Ethnicity,Cases
2021-05-18,Unknown,14
2021-05-21,Middle Eastern/Latin American/African,125
2021-05-01,Maori,208
2021-05-24,European or Other,1472
2021-05-24,Pacific Peoples,200
2021-05-27,Asian,651
