LastReportDate,Ethnicity,Cases
2021-01-23,Unknown,13
2021-06-12,Middle Eastern/Latin American/African,133
2021-06-22,Maori,210
2021-06-26,European or Other,1489
2021-05-24,Pacific Peoples,200
2021-06-25,Asian,683
