LastReportDate,Ethnicity,Cases
2021-05-15,Unknown,14
2021-04-30,Middle Eastern/Latin American/African,122
2021-05-01,Maori,208
2021-05-15,European or Other,1468
2021-05-07,Pacific Peoples,199
2021-05-16,Asian,640
