LastReportDate,Ethnicity,Cases
2021-04-15,Unknown,15
2021-04-12,Middle Eastern/Latin American/African,113
2021-04-11,Maori,203
2021-04-12,European or Other,1457
2021-04-07,Pacific Peoples,194
2021-04-14,Asian,609
