LastReportDate,Ethnicity,Cases
2021-04-07,Unknown,16
2021-04-07,Middle Eastern/Latin American/African,111
2021-03-23,Maori,202
2021-04-07,European or Other,1452
2021-04-05,Pacific Peoples,193
2021-04-07,Asian,581
